번호,상태,기업정보,채용기간,업데이트일,채용공고명,분야,직무,경력조건,자격요건
3195,마감,주식회사 에스앤피랩,~ 2023-05-21,2023-04-25,[신입/경력] 에스앤피랩과 함께할 디자이너를 모집합니다.,"개인자산관리,블록체인",퍼블리싱/디자인(UI/UX),"신입,경력",아이콘 및 일러스트를 직접 제작할 수 있으신
3194,마감,주식회사 에스앤피랩,~ 2023-05-26,2023-04-25,[경력] 에스앤피랩과 함께할 마케팅 전문가를 모집합니다.,"개인자산관리,블록체인",기획/마케팅,경력,데이터 서비스에 대한 관심 및 이해도가 있으신
3193,마감,주식회사 에스앤피랩,~ 2023-05-21,2023-04-25,[경력] 에스앤피랩과 함께할 BlockChain 개발자를 모집합니다.,"개인자산관리,블록체인",기타,경력,블록체인기술의 이
3192,마감,주식회사 에스앤피랩,~ 2023-05-21,2023-04-25,[경력] 에스앤피랩과 함께할 Java/Spring 개발자를 모집합니다.,개인자산관리,네트워크/서버/보안,경력,새로운 분야 학습을 두려워하지 않는 개발
3191,마감,주식회사 에스앤피랩,~ 2023-05-21,2023-04-25,[경력] 에스앤피랩과 함께할 Front-end 개발자를 모집합니다.,개인자산관리,프론트엔드 개발,> Javascript에 대한 경험과 높은 이해,
3190,마감,뮤직카우,~ 2023-04-30,2023-04-25,웹/프론트엔드 개발자,가상자산 교환·중개,프론트엔드 개발,경력,웹 프론트엔드 개발 경력 3년 이상
3189,마감,뮤직카우,~ 2023-04-30,2023-04-25,Cloud Engineer,가상자산 교환·중개,네트워크/서버/보안,경력,Public/System Engineer 관련 업무 3년 이상 Linux/Windows 인프라 운영 경험 3년 이상
3188,마감,뮤직카우,~ 2023-04-30,2023-04-25,웹/백엔드 개발자,가상자산 교환·중개,백엔드 개발,경력,"학력무관, 웹 개발 경력 3년 이상 또는 그에 준하는 실력을 보유하신 분"
3187,마감,뮤직카우,~ 2023-04-30,2023-04-25,취약점진단 및 모의해킹 담당자,가상자산 교환·중개,네트워크/서버/보안,경력무관,"학력무관, 경력무관"
3186,마감,나이스비즈니스플랫폼,~ 2023-04-26,2023-04-25,서비스 기획 경력사원 채용,P2P 대출/온라인대출,기획/마케팅,경력,UI/UX 설계 경험이 풍부하신 분 - 금융 서비스에 대한 이해가 있으신 분
3185,마감,나이스비즈니스플랫폼,~ 2023-04-26,2023-04-25,NICE비즈니스플랫폼(주) UI/UX 개발 경력직 채용,P2P 대출/온라인대출,퍼블리싱/디자인(UI/UX),경력,"HTML, CSS, javascript 활용한 웹 퍼블리싱 가능자(웹표준 코딩)"
3184,마감,주식회사 오퍼스엠,~ 2023-05-31,2023-04-25,마케팅 인턴 채용- 채용시 마감,블록체인,기획/마케팅,"신입,경력",커뮤니케이션에 두려움이 없고 적극적인 분
3183,마감,주식회사 워터아이즈,~ 2023-05-31,2023-04-25,[경력직] 데이터분석 · AI 개발자 및 토목직 채용-채용시 마감,빅데이터 분석,빅데이터/AI,경력,머신러닝 기반의 인공지능 서비스 플랫폼 개발 경험
3182,마감,주식회사 워터아이즈,~ 2023-05-13,2023-04-25,데이터 분석 · AI 개발자 채용,빅데이터 분석,빅데이터/AI,"신입,경력",머신러닝 기반의 인공지능 서비스 플랫폼 개발 경험
3181,마감,주식회사 라굿컴퍼니,~ 2023-06-30,2023-04-18,프론트엔드 엔지니어(React)-상시채용,"블록체인,금융 소프트웨어,기타",프론트엔드 개발,경력,Frontend 개발 경력 2년 이상 또는 그에 준하는 역량을 보유한 분
3180,마감,주식회사 페이히어,~ 2023-05-30,2023-04-18,프론트엔드 엔지니어 (React)-상시채용,간편결제/간편송금,프론트엔드 개발,경력,React 혹은 React Native 개발 및 운영 경험이 4년 이상이거나 그에 준하는 개발 경험
3179,마감,주식회사 페이히어,~ 2023-05-31,2023-04-18,서버 엔지니어 (Go),간편결제/간편송금,네트워크/서버/보안,경력,golang 기반으로 서비스를 개발/운영한 경험이 있으신 분
3178,마감,주식회사 페이히어,~ 2023-05-31,2023-04-18,DevOps 엔지니어,간편결제/간편송금,기타,경력,시스템 운영 및 DevOps 관련 경력이 3년 이상이거나 그에 준하는 경험
3177,마감,주식회사 페이히어,~ 2023-05-31,2023-04-18,서버 엔지니어 (Java/Spring) - 상시채,간편결제/간편송금,네트워크/서버/보안,> Java/Spring 기반으로 서비스를 개발/운영하신 경험이 있으신 분,
3176,마감,주식회사 리드넘버,~ 2023-04-30,2023-04-18,"[경력] Product Owner (서비스 기획자, PO) 채용-채용시",기타,기획/마케팅,경력,PO 또는 PM 경력 3년 이상 또는 그에 준하는 역량을 가지신 분
3175,마감,주식회사 리드넘버,~ 2023-05-04,2023-04-18,[신입 및 경력] 서비스 기획자 채용,기타,기획/마케팅,경력무관,프론트 (웹/앱) 및 백엔드 서비스 기획 능력 보유
3174,마감,주식회사 리드넘버,~ 2023-05-12,2023-04-18,[신입 및 경력] 콘텐츠 마케터 채용,기타,기획/마케팅,"신입,경력",퍼포먼스 또는 콘텐츠 마케팅 업무를 진행해 보신 분
3173,마감,주식회사 리드넘버,~ 2023-05-04,2023-04-18,[신입 및 경력] 자사 서비스 백엔드 개발자 채용,기타,백엔드 개발,"신입,경력",RESTful API 설계 & 개발 경험이 있으신 분
3172,마감,주식회사 스탁키퍼,~ 2023-04-30,2023-04-18,[스탁키퍼(뱅카우)] B2C 영업 관리자 (MD),크라우드펀딩,기타,경력,신선식품 유통 경험이 있으신 분 ㆍMS 오피스 활용 능력이 높으신 분\
