번호,상태,기업정보,채용기간,업데이트일,채용공고명,분야,직무,경력조건,자격요건
4813,마감,주식회사 핀케치,~ 2024-09-30,2024-09-20,[핀테크] 금융 SW 엔지니어 (3년 이상) _ 상시 채용,기타,네트워크/서버/보안,경력,"IT 관련 경력 3년 이상, C/Pro*C 프로그래밍 경험 등"
4812,마감,주식회사 핀케치,~ 2024-09-30,2024-09-20,[핀테크] 금융 SW 엔지니어 )시니어)_상시채용,기타,네트워크/서버/보안,경력,"C/Pro*C 프로그래맹 경험, 리눅스 기반의 CSP 경험"
4811,마감,주식회사 핀케치,~ 2024-09-30,2024-09-20,[핀테크/여의도] B2B SaaS 세일즈 매니저 경력자 모집 _상시 채용,기타,기타,경력,"IT 서비스, 금융, 핀테크 분야에 대한 전반적인 이해와 경험이 있으신 분"
4810,마감,주식회사 아이오로라,~ 2024-09-30,2024-09-20,행사 (키오스크 유지보수) 아르바이트 모집_채용시 마감,간편결제/간편송금,기타,경력무관,경력무관 (신입도 지원 가능)
4809,마감,주식회사 아이오로라,~ 2024-09-30,2024-09-20,운영팀 (키오스크 관리/유지보수) 직원 모집,간편결제/간편송금,기타,경력무관,"운전가능자 , 월 1회 주말 근무 가능자"
4808,마감,뮤직카우,~ 2024-12-31,2024-09-20,Back-end Developer(백엔드 개발자),가상자산 교환·중개,백엔드 개발,경력,경력 5~15년
4807,마감,뮤직카우,~ 2024-12-31,2024-09-20,Cloud & Platform Engineer,가상자산 교환·중개,네트워크/서버/보안,경력,DevOps 및 AWS 운영 관련 업무 3년 이하 경력이신 분
4806,마감,뮤직카우,~ 2024-12-31,2024-09-20,IT Engineer,가상자산 교환·중개,백엔드 개발,경력,경력 3~5년
4805,마감,뮤직카우,~ 2024-12-31,2024-09-20,Product Designer,가상자산 교환·중개,퍼블리싱/디자인(UI/UX),경력,3년 이상의 모바이 ㄹ프로덕트 디자인 경험이 있는 분
4804,마감,뮤직카우,~ 2024-12-31,2024-09-20,Front-end Developer (프론트엔드 개발자),가상자산 교환·중개,프론트엔드 개발,경력,웹 프론트엔드 개발 경력 3년 이상 또는 그에 준하는 실력을 보유하신 분
4803,마감,뮤직카우,~ 2024-12-31,2024-09-20,QA,가상자산 교환·중개,기타,경력,3 년 이상의 경력
4802,마감,뮤직카우,~ 2024-12-31,2024-09-20,전략기획 담당자,가상자산 교환·중개,기획/마케팅,경력,전략기획 실무 경력 3년 이상
4801,마감,주식회사 코인트래빗,~ 2024-10-19,2024-09-20,"무인환전 키오스크 유지 보수, AS 점검 매니저 채용 - 주 4일",소액해외송금,기타,"신입,경력",2종 보통 운전면호 소지자
4800,마감,주식회사 스텝페이,~ 2024-09-22,2024-09-12,백엔드 개발자 (5년 이상),금융 소프트웨어,백엔드 개발,경력,Spring Boot의 이해도가 높고 서비스 운영하면서 다양한 트러블슈팅을 경험하신 분
4799,마감,주식회사 리드넘버,~ 2024-10-10,2024-09-12,"세무 스타트업 퍼포먼스 마케팅 마케터 채용 (연 3,000 ~ 8,000)",기타,기획/마케팅,경력무관,퍼포먼스 또는 콘텐츠 마케팅 업무 경험이 있으신 분
4798,마감,주식회사 리드넘버,~ 2024-10-10,2024-09-12,[리드넘버] 텍스 플랫폼 백엔드 개발 리드 채용 (미들 ~ 팀장급),기타,백엔드 개발,경력,백엔드 개발 기술에 대해 익숙하게 사용이 가능하신 분
4797,마감,주식회사 리드넘버,~ 2024-10-10,2024-09-12,[리드넘버] 프론트 개발자 채용 [ 경력무관 ],기타,프론트엔드 개발,경력무관,"모던 웹 개발 (React, Vue 등) 경험이나 그에 준하느 ㄴ역량을 갖춘 분"
4796,마감,주식회사 리드넘버,~ 2024-10-10,2024-09-12,[리드넘버] jAVA 백엔드 개발자 추가 채용 {신입 및 경력],기타,백엔드 개발,경력무관,사람인 입사지원
4795,마감,주식회사 스탁키퍼,~ 2024-09-30,2024-09-11,[스탁키퍼] B2B 영업관리자 모집,크라우드펀딩,기타,경력,입고/출고/배송/ 재고관리 경험을 가지신 분
4794,마감,주식회사 스탁키퍼,~ 2024-09-30,2024-09-11,[스탁키퍼] 뱅카우 서버 및 백엔드 개발자 모집,크라우드펀딩,"백엔드 개발,네트워크/서버/보안",경력,라이브 서비스 운영 경험이 풍부하고 개발팀을 성공적으로 이끌어 본 경험이 있으신 분
4793,마감,주식회사 스탁키퍼,~ 2024-09-30,2024-09-11,[스탁키퍼] 뱅카우 프로젝트 매니저(PM) 담당자 모집,크라우드펀딩,기획/마케팅,경력,프로젝트 매니저 경력 3년 이상
4792,마감,주식회사 스탁키퍼,~ 2024-09-30,2024-09-11,[스탁키퍼] B2C 담당자 모집,크라우드펀딩,기타,경력,입고/출고/배송/재고관리 경험을 가지신 분
4791,마감,투이컨설팅,~ 2024-09-30,2024-09-11,정규직 수습3개월,기타,네트워크/서버/보안,"신입,경력",정보보안 컨설팅 프로젝트 관련 업무 경험자
4790,마감,스마트핀텍,~ 2024-09-30,2024-09-11,AI를 활용한 홍보 영상 & 기타 영상 편집자 구인 _ 채용시 마감,"개인자산관리,로보어드바이저",기타,신입,경력: 신입
4789,마감,바른기술,~ 2024-10-30,2024-09-11,네트워크 및 시스템 개발자 모집,개인자산관리,네트워크/서버/보안,경력,"C 언어 가능자, 해당직무 근무 경험"
4788,마감,한국페이즈서비스,~ 2024-09-25,2024-09-10,도서문화상품권 판매 영업 및 거래처 관리 (대구지점),금융 소프트웨어,기타,경력무관,"대구지역 거주자, 운전면허 2종 보통 이상 소지자"
4787,마감,한국전자인증,~ 2024-09-30,2024-09-10,iOS 개발자 경력 모집_채용시 마,보안/인증,모바일앱 개발,경력,경력 2년 이상
4786,마감,한국전자인증,~ 2024-09-30,2024-09-10,서버 개발자 (공동 사설 CA/RA 서버 개발),보안/인증,네트워크/서버/보안,경력,"PKI, SSL/TLS 등 보안 프로토콜에 대한 이해도가 있으신 분이 필요"
4785,마감,한국전자인증,~ 2024-09-30,2024-09-10,CA/RA 개발자 모집,보안/인증,네트워크/서버/보안,경력,"Java, C++, Python 등 프로그래밍 언어에 능숙하신 분"
4784,마감,핀샷,~ 2024-09-11,2024-09-10,[핀테크] 자금세탁방지 및 전기통신사기 대응 담당자,소액해외송금,네트워크/서버/보안,"신입,경력",전기통신금융 리스크 관리에 대한 이해도가 높은 자
4783,마감,핀샷,~ 2024-09-11,2024-09-10,[핀테크] 채용담당자 (인사) 경력직 모집,소액해외송금,기타,경력,다이렉트 소싱 가능한 분 (필수)
4782,마감,핀샷,~ 2024-09-11,2024-09-10,[핀테크] 금융마케팅/전략기획 채용,소액해외송금,기획/마케팅,"신입,경력",각 부문별 상이
4781,마감,핀샷,~ 2024-09-11,2024-09-10,[핀테크] 개발팀 PM 채용,소액해외송금,기획/마케팅,경력,IT 개발 경력 혹은 업무 이해도가 높은 분
4780,마감,페이업 주식회사,~ 2024-09-30,2024-09-10,[페이업] 경영지원 팀장 채용_채용시 마감,간편결제/간편송금,기타,경력,"경력 3년 이상 실무경험, 더존 iCINE 사용 경험이 있으신"
4779,마감,(주)크래프트테크놀로지스,~ 2024-10-03,2024-09-10,Frontend Engineer (ATS) 경력 채용,AI(RPA),프론트엔드 개발,경력,"3년 이상 (Node.js, Typescript, React 등을 이용한 웹서비스 실무 경력을 보유한 분"
4778,마감,코리아엑스퍼트,~ 2024-09-30,2024-09-10,[데이터센터] 정보계 분석마트 엔지니어 모집_채용시 마감,보안/인증,빅데이터/AI,경력,"금융권 정보계 프로젝트 경험이 있으신 분, DW/DM, BI 개발/운영 경험이 있으신"
4777,마감,(주)인피니소프트,~ 2024-09-30,2024-09-10,[이노페이] PG 사 영업본부 채용 (오프라인영업 경력직 우대)_채용시 마감,간편결제/간편송금,기타,경력,해외여행 결격 사유가 없는 분
4776,마감,(주)인피니소프트,~ 2024-09-24,2024-09-10,[강소기업] 인피티소프트 법무관리 경력직 채용,간편결제/간편송금,기타,경력,"대졸이상, 해외 여행 결격사유가 없는 분"
4775,마감,(주)인피니소프트,~ 2024-09-11,2024-09-10,[강소기업] 인피니소프트 영업관리팀 경력직 채용,간편결제/간편송금,기타,경력,경력5년이상 (PG 사 또는 오픈마켓)
4774,마감,오스랩스,~ 2024-10-12,2024-09-10,UI/UX 디자이너 모집,보안/인증,퍼블리싱/디자인(UI/UX),"신입,경력","Figma, Photoshop, illustrator 등의 디자인 툴을 능숙하게 다루시는 분"
4773,마감,오스랩스,~ 2024-10-11,2024-09-10,Android 앱 개발자 모집 - 경력직 (5년 이상),보안/인증,모바일앱 개발,경력,"Java/Kotlin 언어 경험자, Retrofit 사용 경험자"
4772,마감,스룩,~ 2024-09-18,2024-09-09,[스룩] 서버/웹 개발자 채용,간편결제/간편송금,네트워크/서버/보안,경력,"Java, x-x-javascript(Typescript), node,js"
4771,마감,스룩,~ 2024-09-30,2024-09-09,[스룩] UI/UX 디자이너 채용,간편결제/간편송금,퍼블리싱/디자인(UI/UX),경력,"완성도 높은 그래픽 디자인 능력 및 디자인 툴 (Photoshop, illustrator, XD, Figma 등) 에 대한 이해가 높으신 분"
4770,마감,스룩,~ 2024-09-30,2024-09-09,[스룩] 웹서비스 기획자 경력 채용,간편결제/간편송금,기획/마케팅,경력,쇼핑몰 솔루션 or E-Commerce 서비스 기획 유경험
4769,마감,락인컴퍼니,~ 2024-10-13,2024-09-09,"모바일 앱 보안 서비스 고객기술 지원 및 응대, QA 신입 채용",보안/인증,기타,"신입,경력","Android, iOS 기반의 스마트폰과 태블릿 사용이 익숙하신 분 등"
4768,마감,락인컴퍼니,~ 2024-11-08,2024-09-09,모바일 앱 보안 서비스 SaaS 개발자 정규직 채용,보안/인증,네트워크/서버/보안,경력,PHP(7.0 이상) 개발 실무 경험이 있으신 분 (5년 이상)
4767,마감,국립대학법인 서울대학교,2024-09-06 ~ 2024-09-10,2024-09-06,빅데이터 핀테크 AI 과정 기간제(행정) 직원 채용 공고,기타,빅데이터/AI,경력무관,"서울대학교 직원 임용에 결격사유가 없는 자로서, 남성의 경우 군필 또는 면제자(학력 제한 없음)"
4766,마감,라이프시맨틱스,~ 2024-09-30,2024-09-05,[디지털헬스케어/코스닥상장사] IR/공시 담당자 채용_상시채용,인슈어테크,기타,경력,UR/ 공시에 대한 3년 이상의 경험이 있으신 분
4765,마감,디리아,~ 2024-09-29,2024-09-05,고객관리 (CS) 담당자 채용,기타,기타,경력무관,"초대졸, 신입/경력"
4764,마감,디리아,~ 2024-09-29,2024-09-05,인사 및 경영기획 담당자 채용,기타,기획/마케팅,경력,"인재육성을 위한 목표관리, 성과관리 경험이 있으신 분"
4763,마감,디리아,~ 2024-09-29,2024-09-05,기술컨설턴트 채용 (시니어),기타,기획/마케팅,"신입,경력",RFP 분석 및 제안서 작성 경험이 있으신 분
4762,마감,투비콘,~ 2024-09-20,2024-09-05,웹 개발자 (ASP.NET. C#) 채용,인슈어테크,백엔드 개발,경력,• ASP.NET(C#) WebForm 개발 가능하신 분 • MS-SQL기반 DB설계 및 SP 작성 가능하신 분 • RESTful API 설계 및 개발 경험이 있으신 분
4761,마감,콴텍,~ 2024-10-08,2024-09-04,"[콴텍, 핀테크] 법무담당자를 모십니다.","로보어드바이저,AI(RPA)",기타,경력,대졸 이상
4760,마감,스틸리언,~ 2024-09-30,2024-09-04,"IT보안영업, 기술영업, 프리세일즈",보안/인증,기타,경력무관,"상대의 의도를 잘 파악하고, 필요한 해결책을 제시핤 수 있는 '의사소통' 능력"
4759,마감,크라우드웍스,~ 2024-09-13,2024-09-03,[크라우드웍스] AI사업본부 AI 컨설턴트,"금융 소프트웨어,기타",빅데이터/AI,경력,유관경력 최소 3년 이상
4758,마감,크라우드웍스,~ 2024-09-15,2024-09-03,[크라우드웍스] 경영지원본부 인사총무 매니저,"금융 소프트웨어,기타",기타,경력,"대내외적으로 커뮤니케이션이 원활하신 분, 총무 업무 3년 이상 근무 경력이 있으신 분"
4757,마감,크라우드웍스,~ 2024-09-15,2024-09-03,[크라우드웍스] 전략기획실 디자이너,"금융 소프트웨어,기타",퍼블리싱/디자인(UI/UX),경력,디자인 경력 3년 이상
4756,마감,콴텍,~ 2024-10-25,2024-09-03,[콴텍] 인사제도 운영 및 채용담당자 모집 (인사팀),"로보어드바이저,AI(RPA)",기타,경력,"관련 업무 3년 이상(인사업무 경험 3년 이상) , 다양한 HR 이슈에 대한 해결방안을 찾은 경험이 많은 분"
4755,마감,스틸리언,~ 2024-10-31,2024-09-03,R&D연구원 - 사이버 보안 벤처기업,보안/인증,기타,경력무관,1개 이상의 프로그래밍 언어 사용이 가능 하신 분 (ex.python)
4754,마감,스틸리언,~ 2024-10-31,2024-09-03,모의해킹 직무 담당자 - 사이버 보안 벤처기업,보안/인증,기타,경력무관,1개 이상의 프로그래밍 언어 사용이 가능 하신 분 (ex.python)
4753,마감,스틸리언,~ 2024-10-31,2024-09-03,백엔드 개발자 - 사이버 보안 벤처기업,보안/인증,백엔드 개발,경력,python web framework 을 이용한 개발 경력 2년 혹은 그에 준하는 활동을 입증할 수 있는 분
4752,마감,스틸리언,~ 2024-10-31,2024-09-03,시스템엔지니어(SE) 경력/ 기술지원,보안/인증,네트워크/서버/보안,경력무관,컴퓨터 관련 전공자 혹은 그에 준하는 지식 보유자
4751,마감,단솔플러스,~ 2024-11-03,2024-09-03,[C#]{RPA] Brity RPA 운영 / 개발 모집,간편결제/간편송금,네트워크/서버/보안,경력무관,"기술등급 초, 중급, 업무프로세스를 해석하여 Brity RPA 기반으로 기획, 설계및 스크립트화 가능한 분"
4750,마감,단솔플러스,~ 2024-10-03,2024-09-03,JAVA 웹 개발 경력/정규직 모집,간편결제/간편송금,백엔드 개발,경력,1년이상 경력
4749,마감,(주)널리소프트,~ 2024-09-06,2024-09-03,IT 인프라 담당자 채용 [AI 세금신고 1위 SSEM],금융 소프트웨어,네트워크/서버/보안,경력,"IT 인프라 운영 경력 3년 이상, 대용량 트래픽을 위한 H/W, S/W 인프라 구성 및 운영 능력"
4748,마감,효성에프엠에스,~ 2024-09-22,2024-09-03,효성에프엠에스 재무회계 경력사원 모집력,간편결제/간편송금,기타,경력,경력 8년 ~ 15년 (과장급)
4747,마감,한패스,~ 2024-10-01,2024-09-03,[한패스(주)/카드여행사업본부] 카드여행사업본부 수시채용,"간편결제/간편송금,소액해외송금",기획/마케팅,경력무관,"컴퓨터활용능력 중 ~ 상, 원활한 커뮤니케이션"
4746,마감,한패스,~ 2024-10-01,2024-09-03,"[한패스(주)/플랫폼사업본부] 컨텐츠 제작, 운영 PD","간편결제/간편송금,소액해외송금",기타,경력,"기본적 영상, 이미지 편집이 가능하신 분"
4745,마감,한패스,~ 2024-10-01,2024-09-03,[한패스(주)/플랫폼사업팀] 라이브커머스 MD 담당자,"간편결제/간편송금,소액해외송금",기타,경력무관,글로벌 시장에 대한 전문성과 이해가 있으신 분
4744,마감,한패스,~ 2024-10-01,2024-09-03,[한패스(주)/경영관리실] FX 운영팀 금융 및 외환관리 담당자,"간편결제/간편송금,소액해외송금",기타,"신입,경력","대졸, 영어 중급 이상, 해외여행 결격 사유 없는 자"
4743,마감,한패스,~ 2024-10-01,2024-09-03,[한패스(주)/준법감시실] AML(STR) 담당자 채용,"간편결제/간편송금,소액해외송금",기타,경력무관,금융회사등에서 STR 보고업무 경력이 최소 2년 이상
4742,마감,한패스,~ 2024-10-01,2024-09-03,[한패스(주)/미래전략실] IPO 총괄/실무 담당자,"간편결제/간편송금,소액해외송금",기타,경력무관,학력/경력 무관
4741,마감,한패스,~ 2024-10-01,2024-09-03,[한패스(주) /미래전략실] 글로벌 총괄 담당자,"간편결제/간편송금,소액해외송금",기타,경력무관,"학력, 경력 무관"
4740,마감,한패스,~ 2024-10-01,2024-09-03,[한패스(주)/데이터마케팅본부] 브랜드마케터 담당자,"간편결제/간편송금,소액해외송금",기획/마케팅,경력,경력 3년 이상
4739,마감,한패스,~ 2024-10-01,2024-09-03,[한패스(주)/플랫폼사업팀] 모빌리티서비스 담당자,"간편결제/간편송금,소액해외송금",기획/마케팅,경력,글로벌시장에 대한 전문성과 이해가 있으신 분
4738,마감,(주)핑거,~ 2024-09-05,2024-09-03,[핑거] 스크래,간편결제/간편송금,네트워크/서버/보안,경력,"Golang, PKI, javascript, Web"
4737,마감,(주)핑거,~ 2024-09-29,2024-09-03,[핑거] 핀테크를 위한 특별한 Java 개발자를 모십니다. (정규직),간편결제/간편송금,"백엔드 개발,프론트엔드 개발",경력,"다양한 Front-End 또는 Back-End 서비스 경험자 (JAVA, SPRING-Boot, Linux, RDBMS)"
4736,마감,(주)핑거,~ 2024-09-07,2024-09-03,[핑거] PG결제시스템 개발 & 운영 경력자 채용 (경력 5년 이상),소액해외송금,백엔드 개발,경력,"java, OOP, Spring framwork 에 대한 이해도가 높고 활용 가능"
4735,마감,핀크,~ 2024-09-30,2024-09-03,[하나금융그룹 자회사] 보안솔루션 서버 개발자,간편결제/간편송금,네트워크/서버/보안,경력,Kotlin/Java/Python/Node.js 등 서버 개발 및 유지보수 경험
4734,마감,핀크,~ 2024-09-30,2024-09-03,[하나금융그룹 자회사] Back-End 서버개발자 경력,간편결제/간편송금,백엔드 개발,경력,서버 개발 경력 5년 이상
4733,마감,페이레터,~ 2024-10-01,2024-09-03,페이레터 (주) 사무지원 근로자 (기간제) 모집,간편결제/간편송금,기타,경력무관,"학력, 경력 무관"
4732,마감,페이레터,~ 2024-09-21,2024-09-03,페이레터 (주) 웹 개발 (빌링시스템) 경력 모집,간편결제/간편송금,"백엔드 개발,프론트엔드 개발",경력,"JAVA Spring framework 기반 Frontend, Backend Service 개발 경험이 있으신 분"
4731,마감,(주)페르소나에이아이,~ 2024-10-03,2024-09-03,페르소나 AI 정보과제 담당자,AI(RPA),기타,경력,"정부과제 전산, 서류, 사업비 관리 관련 실무경험 2년 이상"
4730,마감,(주)페르소나에이아이,~ 2024-09-30,2024-09-03,생성형 AI 서비스 기획자를 모십니다 _ 상시채용,AI(RPA),빅데이터/AI,경력,IT 기획자로서 고객을 생각하는 마인드로 유능하고 밝은 인재
4729,마감,(주)페르소나에이아이,~ 2024-09-04,2024-09-03,인공지능 (AI) PHP 개발자 모집,AI(RPA),빅데이터/AI,경력,"PHP 개발 경험, 클라우드 플랫폼 사용 경험자"
4728,마감,(주)페르소나에이아이,~ 2024-09-04,2024-09-03,DevOps Engineering,AI(RPA),네트워크/서버/보안,경력,"Python Ehsms Go, Shell script 등 스크립트 언어를 활용할 수 있는 분"
4727,마감,페르미,~ 2024-10-03,2024-09-03,영업인력 모집,기타,기타,경력,소프트웨어 솔루션 SI 사업에 대한 이해가 풍부하신 분
4726,마감,파운트,~ 2024-09-06,2024-09-03,[금융/핀테크/SI] 프론트엔드 엔지니어,개인자산관리,프론트엔드 개발,경력,"React, Vue, Angular등 SPA 프레임워크 사용에 능숙하신 분"
4725,마감,티모넷,~ 2024-09-25,2024-09-03,(주) 티모넷 컨버전스 기술팀 프론트엔드 개발자 모집 (신입/경력),간편결제/간편송금,프론트엔드 개발,"신입,경력",Java 언어에 능숙하고 개발 경험이 있으신 분
4724,마감,티모넷,~ 2024-09-16,2024-09-03,(주) 티모넷 댐댐 APP기획/마케팅 팀장 채용모집,간편결제/간편송금,기획/마케팅,경력,5년 이상의 서비스 기획 / PM/PO 경험 (필수)
4723,마감,티모넷,~ 2024-09-20,2024-09-03,(주)티모넷 테크핀기술팀 백엔드 개발자 모집 (시니입/경력),간편결제/간편송금,백엔드 개발,"신입,경력",Java 언어에 능숙하고 개발 경험이 있으신 분
4722,마감,트리거파트너스,~ 2024-09-30,2024-08-26,[칵테일펀딩] 주택담보대출 영업/심사/고객상담 (신입/경력)_ 채용시 마감,P2P 대출/온라인대출,기타,"신입,경력",신입 또는 경력우대 (1년 이상)
4721,마감,투디지트,~ 2024-10-18,2024-08-26,[서비스기획] 서비스 기획자 경력직 채용,AI(RPA),기획/마케팅,경력,"인공지능 서비스, 포털, 인터넷 컨텐츠 업종에 대한 이해도가 높은 자 우대"
4720,마감,쿠콘,~ 2024-09-07,2024-08-26,DATA 플랫폼 전문기업 (주) 쿠콘 사내변호사 모집,빅데이터 분석,기타,경력,"변호사 자격 소지,법률업무 경력 1년 이상이신 분"
4719,마감,주식회사 크로스이엔에프,~ 2024-09-30,2024-08-26,캄보디아 국가 담당 매니저 (Cambodia Regional Manager)_채용시 마감,소액해외송금,기타,경력무관,해당 국가 언어에 능숙하고 한국어 의사소통이 가능한 분 (D-2/D-10/E-7/F)
4718,마감,코인원,~ 2024-09-12,2024-08-26,[코인원] 컴플라이언스 담당자,가상자산 교환·중개,기타,경력,"금융권 업무 경력, 내부 통제 구축 및 운영, 컴플라이언스 분야 업무 경험이 있으신"
4717,마감,코인원,~ 2024-09-30,2024-08-26,[코인원] CS 운영 담당자 (3교대/야간-재택)_채용시 마감,가상자산 교환·중개,기타,경력,"고객센터 근무 등 관련 경력 2년 이상 또는 그에 준하는 역량을 갖추신 분, 주야간 3교대 근무 가능하신"
4716,마감,코인원,~ 2024-09-10,2024-08-26,[코인원] Backend 개발자 맞춤 채용 (백엔드/서버엔진),가상자산 교환·중개,백엔드 개발,경력,Spring Boot(Kotlin/Java)를 이용한 웹 애플리케이션 개발 경험이 있으신 분
4715,마감,코나아이,~ 2024-09-19,2024-08-20,[코나아이(주)] 서비스운영 담당자 채용,금융 소프트웨어,기획/마케팅,경력무관,정확하고 안정적인 업무처리 능력을 보유한 분
4714,마감,코나아이,~ 2024-08-28,2024-08-20,[코나아이(주)] DBA 담당자 채용 (김포 근무),금융 소프트웨어,빅데이터/AI,경력,"DBA로서 3년 이상의 경험을 가지고 있으며, Oracle DBA 3년 이상의 경험을 갖춘 자"
4713,마감,케이에스넷,~ 2024-08-31,2024-08-20,VAN 영업 담당자 채용 _ 채용시 마감,간편결제/간편송금,기타,경력무관,결제시장에 대한 이해를 가지고 있으신 분
4712,마감,지머니트랜스,~ 2024-10-18,2024-08-20,[핀테크] IT 인프라 네트워크 운영 담당자 채용,소액해외송금,네트워크/서버/보안,경력,다양한 IT 시스템 (서버/네트워크/보안) 의 구축/운영 업무를 경험하신 분
4711,마감,지머니트랜스,~ 2024-09-15,2024-08-20,[핀테크] 국가별 고객 대응팀 (Country CS Team) 상시 채용,소액해외송금,기타,경력무관,"D-2, F-2, F-4, F-5, F-6, 귀화, 주말 스케줄 근무 필수"
4710,마감,지머니트랜스,~ 2024-08-29,2024-08-20,"재무, 회계 담당자 채용",소액해외송금,기타,경력무관,기본 영어 의사소통이 가능한 자
4709,마감,지머니트랜스,~ 2024-08-24,2024-08-20,HR 담당자 채용 / HR Job Vacancy,소액해외송금,기타,경력무관,"기본 영어의사소통이 가능한 자, 경력 2년 또는 그에 준하는 경력을 가진 자"
4708,마감,제이씨원,~ 2024-08-24,2024-08-20,정규직 소프트웨어 영업대표 모집,금융 소프트웨어,기타,"신입,경력",대졸 이상 (4년)
4707,마감,유비벨록스,~ 2024-08-21,2024-08-20,프론트엔드 개발자 모집,금융 소프트웨어,프론트엔드 개발,경력,"javascript, HTML5, CSS, Vue, js"
4706,마감,웹케시,~ 2024-08-30,2024-08-20,법무 담당자 신입/경력직 모집,기타,기타,"신입,경력",법학 전공한 분
4705,마감,주식회사 와이어바알리,~ 2024-08-20,2024-08-20,영어 상담사 모집 [심야],소액해외송금,기타,경력,"인바운드 고객센터, 콜센터 경력이 있으신 분"
4704,마감,주식회사 와이어바알리,~ 2024-08-20,2024-08-20,[핀테크] 의심회원 / 거래 관리 담당,소액해외송금,기타,경력,고객 이슈에 대해 즉각적인 리포팅 및 관리가 가능하신 분
4703,마감,주식회사 와이어바알리,~ 2024-08-31,2024-08-20,[핀테크] 해외송금 서비스기획 경력 채용 (정규직),소액해외송금,기획/마케팅,경력,"웹, 모바일, 앱 서비스 UI/UX 기획 경력 3년 이상"
4702,마감,주식회사 와이어바알리,~ 2024-08-20,2024-08-20,한국어 상담사 모집 [심야],소액해외송금,기타,경력,"인바운드 고객센터, 콜센터 경력이 있으신 분"
4701,마감,와디즈,~ 2024-09-01,2024-08-20,[와디즈] PR 담당자 (경력),크라우드펀딩,기타,경력,글로벌 PR 영문 기사 작성이 가능하신 분
4700,마감,와디즈,~ 2024-09-01,2024-08-20,[와디즈] 자바 백엔드 개발 (전문연구요원-병역특례/전직),크라우드펀딩,백엔드 개발,경력,1년 이상의 Spring 및 Spring Boot 프레임웍을 이용한 Java 백엔드 서버 개발 경력을 보유하신
4699,마감,와디즈,~ 2024-09-01,2024-08-20,[와디즈] 자금 담당자 (경력),크라우드펀딩,기타,"신입,경력","법인카드 관리 업무에 대한 경험, K-IFRS(국제회계기준) 에 대한 기초적인 이해가 있으신 분"
4698,마감,옵타움플랫폼,~ 2024-09-12,2024-08-20,JAVA 백엔드 개발 경력자 (8년 이상) 채용 공고,간편결제/간편송금,백엔드 개발,경력,"웹 애플리케이션 개발, 운영 경험자로서 실무 5년차 이상 또는 그에 준하는 역량을 보유한"
4697,마감,옵타움플랫폼,~ 2024-08-31,2024-08-20,경영지원실 채용 (국내사업팀)_ 채용시 마,간편결제/간편송금,기타,"신입,경력",신입/경력 (년수무관)
4696,마감,옵타움플랫폼,~ 2024-08-29,2024-08-20,JAVA 벡엔드 개발 경력자 (5년 이상) 채용 공고,간편결제/간편송금,백엔드 개발,경력,"웹 어플리케이션 개발, 운영 경험자로서 실무 5년차 이상 또는 그에 준하는 역량을 보유한 분"
4695,마감,엔에이치엔페이코,~ 2024-08-31,2024-08-20,[NHN PAYCO] 페이코 혜택 서비스 운영 _ 채용시 마감,간편결제/간편송금,기획/마케팅,경력무관,온라인 광고 사업에 대한 관심과 이해도가 높은 분
4694,마감,엔에이치엔페이코,~ 2024-08-31,2024-08-20,[NHN] PAYCO 프로덕트 디자인 _ 채용시 마감,간편결제/간편송금,퍼블리싱/디자인(UI/UX),경력,"UI/UX에 대한 이해도가 있으신 분, 웹/앱 디자인 경험이 있으신 분"
4693,마감,엑심베이,~ 2024-09-12,2024-08-19,재무/회계 사무지원 담당자 (1년 계약직),간편결제/간편송금,기타,경력,회계 전공자/ 관련 자격증 취득./ 관련 업무 경력 1년 이상 중 1 요건 충족 (필수)
4692,마감,엑심베이,~ 2024-09-06,2024-08-19,온라인 결제 온보딩 운영 담당 (정규직 or 1년 계약),간편결제/간편송금,기타,"신입,경력",꼼꼼한 성향으로 반복적인 업무를 정확하게 수행해 주실 수 있는 분
4691,마감,엑심베이,~ 2024-08-31,2024-08-19,사내 인프라 관리 담당자 (1년 계약직),간편결제/간편송금,기타,"신입,경력",능숙한 문서활용 능력을 보유하신 분
4690,마감,엑심베이,~ 2024-08-27,2024-08-19,해외결제 위험관리 운영 담당 (정규직 or 1년 계약),간편결제/간편송금,기타,"신입,경력",지속적인 학습과 능동적인 문제 해결에 대한 열정이 있는 분
4689,마감,엑심베이,~ 2024-08-28,2024-08-19,Data Engineer,간편결제/간편송금,빅데이터/AI,"신입,경력","Data Warehouse/Data Mart, Data Pipeline 운영 경험이 있으신 분"
4688,마감,주식회사 에잇퍼센트,~ 2024-08-30,2024-08-19,[8퍼센트] 대인 VIP / 법인 투자자 세일즈 매니저 채용공고,P2P 대출/온라인대출,기타,경력,"MS Office (Excel, PPT, Word) 활용에 능숙하신 분"
4687,마감,(주)에이젠글로벌,~ 2024-08-22,2024-08-19,Python BackEnd Developer,개인자산관리,백엔드 개발,경력,"Django, FastApi, PostgreSql 사용 경험 • 칼럼형 데이터베이스(Column Oriented Database) 사용 경험"
4686,마감,(주)에이젠글로벌,~ 2024-08-22,2024-08-19,ML Engineer,개인자산관리,빅데이터/AI,경력,"데이터 사이언스 관련 Framework(Tensorflow, Pytorch, Numpy, Pandas 등) 사용에 능숙"
