회사명,지역,직종
코인원(coinone),서울 영등포구,AI
버닛,서울 금천구,AI
앤톡(Antock),서울 성동구,AI
루닛(Lunit),서울 강남구,AI
루닛(Lunit),서울 강남구,AI
일루니,서울 서초구,AI
보스반도체,경기 성남시,AI
누비랩,서울 강남구,AI
그린랩스,서울 송파구,AI
아이브,서울 서초구,AI
숲(SOOP),경기 성남시,AI
모레,서울 서초구,AI
클로인트,서울 서초구,AI
컬리,서울 강남구,AI
비상교육,경기 과천시,AI
우아한형제들(배달의민족),서울 송파구,AI
우아한형제들(배달의민족),서울 송파구,AI
컬리,서울 강남구,AI
포티투닷(42dot),경기,AI
섬재,서울 강남구,AI
더블티,경기 수원시,AI
부릉,서울 서초구,AI
원티드 재팬(wanted),서울,AI
시큐레터,경기 성남시,AI
인터엑스,서울 금천구,AI
씨메스(CMES),서울 강남구,AI
인플루엔셜(윌라),서울 서초구,AI
제이앤피메디(JNPMEDI),인천 연수구,AI
메디웨일,서울 강남구,AI
메디웨일,서울 강남구,AI
트리노드,서울 강남구,AI
도르코퍼레이션,서울 강남구,AI
이마고웍스,서울 강남구,AI
이마고웍스,서울 강남구,AI
데이터메이커,대전 유성구,AI
에이블리코퍼레이션,서울 서초구,AI
버티컬바,서울 강남구,AI
그로잉랩,서울 마포구,AI
폴라리스쓰리디(Polaris3D),경북 포항시,AI
폴라리스쓰리디(Polaris3D),서울 용산구,AI
앤서스랩코리아,서울 강남구,AI
바이트사이즈,부산 부산진구,AI
바이트사이즈,부산 부산진구,AI
올빅뎃,경기 성남시,AI
반프,서울 강남구,AI
에비드넷,서울 강남구,AI
모본,서울 강남구,AI
에너자이(ENERZAi),서울 강남구,AI
에너자이(ENERZAi),서울 강남구,AI
에너자이(ENERZAi),서울 강남구,AI
중앙일보,서울 마포구,AI
도슨티,서울 관악구,AI
중앙일보,서울 마포구,AI
디오,부산 해운대구,AI
토르드라이브,서울 영등포구,AI
씨메스(CMES),서울 강남구,AI
애자일소다,서울 강남구,AI
애자일소다,서울 강남구,AI
셀렉트스타,서울 강남구,AI
씨메스(CMES),서울 강남구,AI
씨메스(CMES),서울 강남구,AI
휴톰,서울 마포구,AI
비투엔,서울 용산구,AI
데이터노우즈,서울 강남구,AI
이브로드캐스팅,서울 영등포구,AI
앤서스랩코리아,서울 강남구,AI
텔레픽스,서울 영등포구,AI
엠에스투데이,서울 강남구,AI
에스케이씨앤씨(SK C&C),경기 성남시,AI
테스트웍스,서울 송파구,AI
르호사,서울 강남구,AI
플랜바이테크놀로지스,서울 강남구,AI
마스오토,서울 서초구,AI
아이지에이웍스(IGAWorks),서울 용산구,AI
바이온사이트,서울 성동구,AI
바이온사이트,서울 성동구,AI
바이온사이트,서울 성동구,AI
데브시스터즈(Devsisters),서울 강남구,AI
미리비트,경기 성남시,AI
미리비트,경기 성남시,AI
미리비트,경기 성남시,AI
토르드라이브,서울 영등포구,AI
해긴,서울 구로구,AI
아이브,서울 서초구,AI
아이브,서울 서초구,AI
룰루랩(lululab),서울 강남구,AI
파이프트리스마트팜(PAIPTREESmartFarmInc.),서울 강남구,AI
마인즈앤컴퍼니,서울 강남구,AI
마인즈앤컴퍼니,서울 강남구,AI
마인즈앤컴퍼니,서울 강남구,AI
원티드 재팬(wanted),서울,AI
원티드 재팬(wanted),서울,AI
글로벌시스템스,대전 유성구,AI
토스뱅크,서울 강남구,AI
업스테이지,경기,AI
업스테이지,경기,AI
루닛(Lunit),서울 강남구,AI
로완,서울 중구,AI
